PlayerX,PlayerO,Depth,Games,Wins(X),Draws,Wins(O),AvgTime,AvgNodes_Expectimax,AvgNodes_Minimax,AvgNodes_AlphaBeta,AvgPrunes_AlphaBeta
ExpectimaxAgent,ExpectimaxAgent,Full,3,3,0,0,3.182,619082,0,0,0
ExpectimaxAgent,ExpectimaxAgent,3,3,3,0,0,0.0135,1514,0,0,0
ExpectimaxAgent,ExpectimaxAgent,5,3,3,0,0,0.2666,30588,0,0,0
ExpectimaxAgent,MinimaxAgent,Full,3,0,3,0,3.1744,557492,60692,0,0
ExpectimaxAgent,MinimaxAgent,3,3,0,3,0,0.2984,938,56734,0,0
ExpectimaxAgent,MinimaxAgent,5,3,0,3,0,0.4806,21858,56734,0,0
ExpectimaxAgent,AlphaBetaAgent,Full,3,0,3,0,2.8698,557492,0,2435,1050
ExpectimaxAgent,AlphaBetaAgent,3,3,3,0,0,0.0099,931,0,187,31
ExpectimaxAgent,AlphaBetaAgent,5,3,3,0,0,0.202,21823,0,1377,323
MinimaxAgent,ExpectimaxAgent,Full,3,3,0,0,3.1668,60751,558331,0,0
MinimaxAgent,ExpectimaxAgent,3,3,3,0,0,2.8549,561,558331,0,0
MinimaxAgent,ExpectimaxAgent,5,3,3,0,0,2.9278,8887,558331,0,0
MinimaxAgent,MinimaxAgent,Full,3,0,3,0,3.1546,0,618184,0,0
MinimaxAgent,MinimaxAgent,3,3,0,3,0,3.1494,0,618184,0,0
MinimaxAgent,MinimaxAgent,5,3,0,3,0,3.151,0,618184,0,0
MinimaxAgent,AlphaBetaAgent,Full,3,0,3,0,2.8531,0,557492,2435,1050
MinimaxAgent,AlphaBetaAgent,3,3,0,3,0,2.8392,0,557492,203,32
MinimaxAgent,AlphaBetaAgent,5,3,0,3,0,2.8467,0,557492,1084,286
AlphaBetaAgent,ExpectimaxAgent,Full,3,3,0,0,0.4225,60751,0,19090,8490
AlphaBetaAgent,ExpectimaxAgent,3,3,3,0,0,0.0083,587,0,341,51
AlphaBetaAgent,ExpectimaxAgent,5,3,3,0,0,0.0978,8765,0,2588,521
AlphaBetaAgent,MinimaxAgent,Full,3,0,3,0,0.4177,0,60692,19217,8551
AlphaBetaAgent,MinimaxAgent,3,3,0,3,0,0.2925,0,56734,352,52
AlphaBetaAgent,MinimaxAgent,5,3,0,3,0,0.3119,0,56734,2611,526
AlphaBetaAgent,AlphaBetaAgent,Full,3,0,3,0,0.1176,0,0,21652,9601
AlphaBetaAgent,AlphaBetaAgent,3,3,3,0,0,0.0047,0,0,536,81
AlphaBetaAgent,AlphaBetaAgent,5,3,3,0,0,0.0337,0,0,3965,844
